((0.310247,0.888388),0.69141)
((0.406096,0.429195),0.934981)
((0.124053,0.602735),0.976963)
((0.910556,0.442698),0.55415)
((0.00286176,0.123473),0.999978)
((0.0627136,0.326342),0.999379)
((0.457527,0.639809),0.753283)
((0.828895,0.34377),0.686721)
((0.671931,0.868469),0.461779)
((0.624199,0.232854),0.923568)
((0.520312,0.339904),0.921135)
((0.690731,0.483342),0.68083)
((0.153896,0.757048),0.912464)
((0.802451,0.117328),0.893578)
((0.060253,0.59877),0.988203)
((0.245736,0.3705),0.990886)
((0.487157,0.651831),0.717087)
((0.799695,0.611211),0.517363)
((0.254567,0.710252),0.871705)
((0.0539085,0.257428),0.999766)
((0.833725,0.116622),0.874809)
((0.58377,0.291252),0.913186)
((0.756431,0.412665),0.686209)
((0.635021,0.428362),0.774566)
((0.281134,0.25922),0.995899)
((0.661216,0.801446),0.494591)
((0.599124,0.351946),0.864078)
((0.284788,0.75302),0.81772)
((0.108994,0.0872397),0.999947)
((0.870348,0.169247),0.80712)
((0.686009,0.116084),0.950232)
((0.539747,0.173167),0.975455)
((0.767915,0.339442),0.740025)
((0.784377,0.0224819),0.951499)
((0.049694,0.838286),0.932577)
((0.27991,0.883419),0.722889)
((0.954908,0.863681),0.383259)
((0.17467,0.711339),0.922872)
((0.276346,0.809692),0.782616)
((0.139701,0.55748),0.981861)
((0.068912,0.800917),0.938256)
((0.358926,0.668036),0.817677)
((0.152863,0.643715),0.958777)
((0.421056,0.261857),0.981351)
((0.730954,0.291404),0.811607)
((0.431104,0.416964),0.928433)
((0.407488,0.970851),0.557925)
((0.59013,0.175403),0.961586)
((0.310293,0.374507),0.981636)
((0.197885,0.359987),0.995205)
((0.212793,0.477796),0.981767)
((0.243406,0.167701),0.999131)
((0.341476,0.418076),0.964272)
((0.87904,0.617822),0.476078)
((0.227768,0.0187405),0.999896)
((0.175302,0.29668),0.998217)
((0.819657,0.534228),0.550604)
((0.964716,0.97252),0.365504)
((0.177943,0.385772),0.994954)
((0.234377,0.908897),0.745697)
((0.677176,0.665481),0.558305)
((0.325861,0.0846639),0.999125)
((0.636331,0.915991),0.458982)
((0.260067,0.946624),0.693678)
((0.290498,0.457953),0.968261)
((0.306612,0.503292),0.948306)
((0.935748,0.550017),0.482193)
((0.670992,0.277225),0.867454)
((0.968094,0.550032),0.468759)
