((0.692432,0.204503),0.904624)
((-0.411364,1.20403),0.109554)
((1.17868,0.158081),0.196402)
((-0.630548,-0.127926),0.879467)
((-0.0556726,-0.688885),0.894395)
((-0.584866,0.158503),0.900079)
((-1.03667,-0.79022),0.0109919)
((-1.2246,0.730567),0.0116769)
((1.13488,-1.09282),0.00909055)
((0.556303,-0.219365),0.963846)
((0.632378,0.881644),0.488425)
((0.294181,-0.69755),0.910193)
((-1.22174,1.20091),0.000826746)
((1.15934,0.109635),0.214482)
((0.129529,-0.503832),0.966265)
((-0.400279,0.00631152),0.965277)
((1.07774,1.04691),0.0106151)
((0.475939,-0.886737),0.657083)
((-0.884471,-0.297719),0.413177)
((1.24446,0.598733),0.101153)
((0.412984,1.027),0.448182)
((0.743691,-0.778062),0.682761)
((0.606312,0.289942),0.93884)
((0.553787,-0.00868172),0.962976)
((-0.913586,0.359483),0.281787)
((-0.674659,1.00113),0.0414677)
((0.952486,0.93987),0.0455288)
((-1.10637,0.238481),0.161356)
((0.647887,-0.969424),0.398681)
((-0.601766,1.11651),0.04169)
((0.25283,-0.690351),0.913832)
((-0.236736,1.18536),0.213067)
((-0.0717714,1.23837),0.232386)
((0.72456,0.184909),0.88265)
((0.268107,1.07592),0.424701)
((0.470619,-0.300912),0.971017)
((0.072352,1.02063),0.526833)
((1.17614,-0.0734646),0.217071)
((0.280768,-1.12882),0.248614)
((0.449783,-0.502957),0.960863)
((-0.699462,-0.858574),0.11179)
((-0.0532103,0.695215),0.921926)
((-0.528323,0.480086),0.867966)
((-1.18871,-1.17949),0.000782216)
((1.23429,-0.306318),0.182243)
((-0.789721,-0.342201),0.595593)
((1.12087,0.937189),0.0233214)
((-1.16227,0.742097),0.0125961)
((-0.0776442,0.0333517),0.980724)
((0.542322,-0.18683),0.9658)
((-0.044817,-0.739156),0.849591)
((-0.490871,-0.0615282),0.948958)
((0.895755,-0.0535646),0.674106)
((-0.260261,0.79179),0.789987)
((0.110162,-1.0066),0.394236)
((-0.408803,-0.758547),0.669834)
((1.09297,-0.396022),0.311789)
((-0.942223,-0.938298),0.00757662)
((0.0313232,-1.05059),0.313853)
((0.161973,-0.22515),0.980174)
((0.902165,0.180204),0.602248)
((1.18936,-0.479614),0.19233)
((-0.878598,0.90849),0.0137178)
((-1.01379,1.20028),0.00143787)
((0.670053,-0.910924),0.503645)
((0.0964572,1.15686),0.324095)
((0.809779,-0.0431647),0.819955)
((-0.469143,0.110131),0.951302)
((0.968017,-0.540521),0.511461)
((0.456174,-0.590383),0.945836)
((-0.0606695,0.327599),0.976993)
((0.956616,0.34288),0.42851)
((0.281682,-0.772132),0.847381)
((0.280388,-0.0188923),0.980106)
((-0.0234805,0.363577),0.976292)
((0.640825,0.347424),0.91826)
((-0.849663,-0.293032),0.487081)
((0.00764864,1.05065),0.461151)
((0.75561,-0.455724),0.882113)
((0.654823,0.607888),0.829964)
((-0.726525,-0.697983),0.277552)
((-0.992986,0.888078),0.00778316)
((0.922653,-0.468431),0.63796)
((-0.427733,1.08493),0.162132)
((-0.641866,-0.336189),0.846192)
((-0.334032,0.918082),0.501425)
((0.200806,-0.0555339),0.981132)
((-0.858583,-0.208446),0.493702)
((-0.856813,-0.459888),0.353883)
((0.65472,-1.12687),0.176019)
((0.765045,0.604326),0.664564)
((-0.587977,0.366069),0.859183)
((0.0242076,-0.642838),0.928374)
((0.813449,-0.859909),0.421301)
((0.00428457,-0.489175),0.966264)
((0.930017,0.794289),0.14806)
((-0.380353,-0.0942497),0.967665)
((0.945063,1.17483),0.00695783)
((0.301722,1.04404),0.472116)
((-0.261438,1.01947),0.383325)
((-0.840514,0.986554),0.0105658)
((1.01078,0.743953),0.125566)
((1.12601,-0.120699),0.266321)
((-1.09414,0.802648),0.00969032)
((0.103073,-0.152858),0.981114)
((0.92353,-0.724021),0.441411)
((-1.12714,1.17562),0.00106772)
((1.18767,1.17306),0.00310886)
((0.635459,0.152353),0.937567)
((0.595503,1.11528),0.14254)
((-0.524204,-0.30458),0.929851)
((0.92318,0.894266),0.0781385)
((-0.0633732,-0.11414),0.980615)
((-0.852724,0.774965),0.0489958)
((-0.167047,-0.0528477),0.979208)
((-0.710842,0.383882),0.666581)
((-0.602826,0.796634),0.306599)
((-0.965838,-0.337471),0.26011)
((0.631263,-0.369417),0.946689)
((1.20948,0.234096),0.172149)
((-0.546439,1.00022),0.122728)
((0.676607,-0.763073),0.771498)
((0.0345169,0.125111),0.981139)
((0.247462,-0.90986),0.610918)
((0.481687,0.716056),0.881495)
((-0.238661,-1.18256),0.16126)
((-0.307929,-0.361915),0.965428)
((-0.205167,-0.749136),0.799783)
((-0.734147,1.1868),0.00951709)
((-0.979331,0.390408),0.190739)
((-0.908767,-1.15511),0.00446648)
((1.11682,0.418938),0.195672)
((1.08822,-0.219608),0.321183)
((-0.949054,-0.746028),0.0302809)
((-0.99233,-0.594723),0.0746314)
((-0.504133,-0.467364),0.905293)
((0.00960058,-1.14305),0.219169)
((-1.24787,-0.512333),0.0419131)
((-0.774935,0.666819),0.198951)
((-0.272846,-0.722296),0.813012)
((0.366918,-0.713311),0.899585)
((-1.11039,0.117418),0.179964)
((0.941128,0.0389731),0.556181)
((0.0210195,0.774433),0.88154)
((0.896883,-1.08397),0.0631403)
((-0.811671,0.749753),0.0831822)
((1.09317,0.387277),0.222243)
((-1.03819,1.21746),0.0012525)
((-0.711958,-0.871073),0.092511)
((-0.127577,0.814633),0.814871)
((-0.968977,-0.58986),0.090332)
((1.21633,0.353179),0.155312)
((0.879271,0.413077),0.55904)
((0.0915863,-0.708236),0.894092)
((-0.829089,0.50081),0.303825)
((-0.379709,0.732123),0.787)
((-0.201843,0.129125),0.977585)
((0.202214,1.1189),0.369282)
((0.360194,-1.22203),0.181507)
((-1.20038,0.290676),0.117878)
((0.387597,-0.662213),0.926671)
((0.181821,0.861885),0.805013)
((0.697796,0.351638),0.879281)
((-0.0254826,-0.786876),0.790772)
((-0.02152,0.813981),0.839826)
((0.576865,0.373809),0.941056)
((0.116133,-0.657342),0.926387)
((-0.452655,-0.264669),0.953001)
((-0.787887,0.487961),0.399269)
((1.15472,-0.0742609),0.234604)
((-0.603712,0.905499),0.148047)
((1.22888,-1.13894),0.0038552)
((0.258379,0.0675494),0.980233)
((0.302644,-0.969117),0.490528)
((-0.457415,-0.279961),0.951126)
((-0.312838,-0.372137),0.964231)
((0.496088,0.24813),0.964933)
((0.324913,0.805411),0.856145)
((-0.954919,0.67234),0.0539854)
((0.018662,1.15144),0.322398)
((-0.197728,-0.706941),0.85413)
((0.939683,0.754708),0.173683)
((-0.62221,0.0213139),0.882986)
((0.722166,-0.057675),0.906464)
((0.655654,-0.431395),0.935868)
((-0.462346,-0.646224),0.805442)
((-1.09441,-1.24999),0.00107251)
((-1.08598,0.453195),0.101139)
((-0.65146,0.91014),0.0963899)
((-0.780622,0.0871475),0.645842)
((-0.312456,1.0573),0.287561)
((0.104425,0.0763667),0.981459)
((0.994789,-0.581382),0.429716)
((1.20624,0.795006),0.0510638)
((-0.827784,-0.0581982),0.567557)
((-0.636783,0.0847375),0.865422)
((-0.816499,-0.403807),0.494053)
((0.71231,-0.710881),0.80146)
((-0.272007,0.872838),0.650363)
((-0.207392,-0.640144),0.906787)
((1.1042,0.756652),0.0805963)
((-0.443479,-1.04812),0.163204)
((-0.701195,0.0154167),0.795735)
((-0.891385,0.987546),0.00720082)
((0.186096,0.218794),0.979832)
((-0.227213,1.22276),0.194158)
((0.916007,0.335192),0.516001)
((1.06744,0.547623),0.190675)
((-1.09465,-0.295088),0.160885)
((0.45053,-0.435608),0.966749)
((1.2346,-0.000352881),0.177423)
((-0.930872,-0.157966),0.36579)
((0.0643073,0.813465),0.851829)
((-0.592306,0.110106),0.899309)
((0.545804,0.824653),0.722944)
((-0.0619455,-1.11837),0.228628)
((0.97879,0.526895),0.299314)
((0.517183,-0.211433),0.968473)
((-1.06117,-0.117136),0.217317)
((-1.19794,-1.23362),0.000702016)
((-1.02649,0.284644),0.196482)
((-0.980731,-0.653756),0.0516414)
((-0.181061,-0.590933),0.934149)
((0.69183,0.0790403),0.915983)
((0.931003,-0.126624),0.613583)
((-0.662618,0.885089),0.105304)
((0.68515,0.311789),0.896059)
((0.23107,1.09486),0.40121)
((-1.20265,-0.448025),0.0687183)
((0.0392638,-0.0938195),0.981414)
